# snapshot_at	total_items	total_cost	total_gross	est_net_received	implied_balance	earners	new_earners_24h	new_cost_24h	new_gross_24h
2026-05-04T16:15:28.911Z	56	253	1316	921	668	8	1	69	21
2026-05-04T21:45:38.402Z	56	253	1316	921	668	8	1	69	21
2026-05-05T07:33:42.527Z	59	257	1337	936	679	9	2	10	42
2026-05-05T17:08:36.415Z	63	324	1388	972	648	10	2	71	72
2026-05-05T21:40:39.585Z	63	324	1388	972	648	10	2	71	72
2026-05-06T17:17:28.301Z	66	333	1388	972	639	10	0	9	0
2026-05-06T21:44:41.917Z	66	333	1388	972	639	10	0	9	0
2026-05-07T09:46:01.846Z	66	333	1388	972	639	10	0	6	0
2026-05-07T18:01:21.958Z	66	333	1388	972	639	10	0	0	0
2026-05-07T21:32:46.112Z	66	333	1388	972	639	10	0	0	0
2026-05-08T06:19:11.640Z	66	333	1388	972	639	10	0	0	0
2026-05-08T16:53:41.941Z	66	333	1388	972	639	10	0	0	0
2026-05-08T21:36:48.103Z	66	333	1388	972	639	10	0	0	0
2026-05-09T07:23:41.726Z	66	333	1388	972	639	10	0	0	0
2026-05-09T15:15:27.558Z	66	333	1388	972	639	10	0	0	0
2026-05-09T20:09:55.696Z	66	333	1388	972	639	10	0	0	0
2026-05-10T07:49:47.364Z	66	333	1388	972	639	10	0	0	0
2026-05-10T15:33:05.800Z	66	333	1388	972	639	10	0	0	0
2026-05-10T20:32:39.865Z	66	333	1388	972	639	10	0	0	0
2026-05-11T11:48:45.705Z	66	333	1388	972	639	10	0	0	0
2026-05-11T18:24:36.589Z	66	333	1388	972	639	10	0	0	0
2026-05-12T10:03:24.910Z	66	333	1388	972	639	10	0	0	0
2026-05-12T18:25:58.580Z	66	333	1388	972	639	10	0	0	0
2026-05-13T10:01:42.633Z	66	333	1388	972	639	10	0	0	0
2026-05-13T18:29:39.681Z	66	333	1388	972	639	10	0	0	0
2026-05-14T09:39:42.557Z	66	333	1388	972	639	10	0	0	0
2026-05-14T18:23:06.623Z	66	333	1388	972	639	10	0	0	0
2026-05-15T10:01:31.847Z	66	333	1388	972	639	10	0	0	0
2026-05-15T17:16:29.643Z	66	333	1388	972	639	10	0	0	0
2026-05-15T21:39:14.291Z	66	333	1388	972	639	10	0	0	0
2026-05-16T07:31:59.257Z	66	333	1388	972	639	10	0	0	0
2026-05-16T15:38:47.142Z	66	333	1388	972	639	10	0	0	0
2026-05-16T20:33:18.662Z	66	333	1388	972	639	10	0	0	0
2026-05-17T08:34:49.849Z	66	333	1388	972	639	10	0	0	0
2026-05-17T15:43:12.851Z	66	333	1388	972	639	10	0	0	0
2026-05-17T20:35:40.411Z	66	333	1388	972	639	10	0	0	0
2026-05-18T12:52:06.888Z	66	333	1388	972	639	10	0	0	0
2026-05-18T21:55:33.111Z	66	333	1388	972	639	10	0	0	0
2026-05-19T11:43:23.775Z	66	333	1388	972	639	10	0	0	0
2026-05-19T18:27:45.835Z	66	333	1388	972	639	10	0	0	0
2026-05-20T10:38:13.902Z	66	333	1388	972	639	10	0	0	0
2026-05-20T19:55:56.896Z	66	333	1388	972	639	10	0	0	0
2026-05-22T10:37:36.247Z	66	333	1388	972	639	10	0	0	0
2026-05-22T18:23:00.510Z	66	333	1388	972	639	10	0	0	0
2026-05-23T08:32:25.361Z	66	333	1388	972	639	10	0	0	0
2026-05-23T15:47:53.545Z	66	333	1388	972	639	10	0	0	0
2026-05-23T20:35:52.939Z	66	333	1388	972	639	10	0	0	0
2026-05-24T09:10:08.404Z	66	333	1388	972	639	10	0	0	0
2026-05-24T15:48:30.392Z	66	333	1388	972	639	10	0	0	0
2026-05-24T21:14:25.049Z	66	333	1388	972	639	10	0	0	0
2026-05-25T12:50:34.421Z	66	333	1388	972	639	10	0	0	0
2026-05-25T21:57:36.214Z	66	333	1388	972	639	10	0	0	0
2026-05-26T15:42:22.482Z	66	333	1388	972	639	10	0	0	0
2026-05-26T20:12:49.738Z	66	333	1388	972	639	10	0	0	0
2026-05-27T04:07:42.564Z	66	333	1388	972	639	10	0	0	0
2026-05-27T10:01:39.800Z	66	333	1388	972	639	10	0	0	0
2026-05-27T15:53:17.555Z	66	333	1388	972	639	10	0	0	0
2026-05-27T20:22:41.833Z	66	333	1388	972	639	10	0	0	0
2026-05-28T03:55:59.138Z	66	333	1388	972	639	10	0	0	0
2026-05-28T10:08:35.335Z	66	333	1388	972	639	10	0	0	0
2026-05-28T16:06:16.030Z	66	333	1388	972	639	10	0	0	0
2026-05-28T20:27:39.529Z	66	333	1388	972	639	10	0	0	0
2026-05-29T03:57:37.019Z	66	333	1388	972	639	10	0	0	0
2026-05-29T09:59:29.916Z	66	333	1388	972	639	10	0	0	0
2026-05-29T15:43:37.619Z	66	333	1388	972	639	10	0	0	0
2026-05-29T20:30:00.480Z	66	333	1388	972	639	10	0	0	0
2026-05-30T03:42:22.526Z	66	333	1388	972	639	10	0	0	0
2026-05-30T08:31:29.869Z	66	333	1388	972	639	10	0	0	0
2026-05-30T13:45:56.302Z	66	333	1388	972	639	10	0	0	0
2026-05-30T19:21:25.941Z	66	333	1388	972	639	10	0	0	0
2026-05-31T04:09:06.643Z	66	333	1388	972	639	10	0	0	0
2026-05-31T08:50:55.919Z	66	333	1388	972	639	10	0	0	0
2026-05-31T13:51:09.124Z	66	333	1388	972	639	10	0	0	0
2026-05-31T19:21:29.307Z	66	333	1388	972	639	10	0	0	0
2026-06-01T04:23:31.795Z	66	333	1388	972	639	10	0	0	0
2026-06-01T11:41:26.783Z	66	333	1388	972	639	10	0	0	0
2026-06-01T17:47:11.416Z	66	333	1388	972	639	10	0	0	0
2026-06-01T21:36:36.745Z	66	333	1388	972	639	10	0	0	0
2026-06-02T04:17:01.011Z	66	333	1388	972	639	10	0	0	0
